,Q12_1,Location_district,Lat_jitter,Lon_jitter
46,"Yes, previously, but not this past year",Mkushi,-13.6110987283656,29.4024537490293
70,"Yes, previously, but not this past year",Mkushi,-13.9241377530419,29.4838036649202
76,"Yes, previously, but not this past year",Mkushi,-13.9232464183492,29.4906056379512
153,"Yes, previously, but not this past year",Mkushi,-13.9922728870471,29.4539980006258
259,"Yes, previously, but not this past year",Monze,-16.2513235239662,27.7470991846255
440,"Yes, previously, but not this past year",Mansa,-11.1746362179862,28.8863669788072
472,"Yes, previously, but not this past year",Mansa,-11.1819715239662,28.8973221846255
483,"Yes, this cultivation-year (2023-2024)",Mansa,-11.1771837653489,28.8870287212623
496,"Yes, this cultivation-year (2023-2024)",Mansa,-11.1763555239662,28.8830731846255
530,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9222465239662,28.7999931846255
532,"Yes, previously, but not this past year",Mansa,-10.9214313283904,28.7985728295126
534,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9223405239662,28.7998751846255
536,"Yes, previously, but not this past year",Mansa,-10.9228859657763,28.8011209280768
537,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9204865239662,28.8003881846255
547,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9200463027104,28.8003462725857
548,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9222651182084,28.7996738763132
551,"Yes, previously, but not this past year",Mansa,-10.9222695239662,28.7996561846255
552,"Yes, previously, but not this past year",Mansa,-10.9229175239662,28.8011071846255
557,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9223515239662,28.7996721846255
558,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9223170440986,28.7995873750725
563,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9222941195934,28.7997354833016
566,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9222613882615,28.7996755526939
567,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9228275020017,28.8015727126577
571,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9186509253799,28.8005936225483
576,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9344755239662,28.8047281846255
580,"Yes, this cultivation-year (2023-2024)",Mansa,-10.922509872698,28.7999352575074
582,"Yes, previously, but not this past year",Mansa,-10.9222735239662,28.7996391846255
588,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9226612469523,28.8015619838217
597,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9223106738522,28.7995413584241
598,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9224925239662,28.7998641846255
599,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9223305239662,28.7996631846255
603,"Yes, previously, but not this past year",Mansa,-10.9226055239662,28.8017231846255
605,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9223485239662,28.7996481846255
609,"Yes, this cultivation-year (2023-2024)",Mansa,-10.9225155239662,28.7998501846255
614,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7613995906306,28.8323537433127
622,"Yes, previously, but not this past year",Mansa,-10.7615255239662,28.8325571846255
625,"Yes, previously, but not this past year",Mansa,-10.7612995239662,28.8324581846255
627,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7614880625855,28.8326737640732
628,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7615075239662,28.8325001846255
629,"Yes, previously, but not this past year",Mansa,-10.7642309556124,28.8343054694662
637,"Yes, previously, but not this past year",Mansa,-10.7618151234803,28.8325200402716
639,"Yes, previously, but not this past year",Mansa,-10.7611635239662,28.8318821846255
642,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7615605239662,28.8324431846255
644,"Yes, previously, but not this past year",Mansa,-10.7614880625855,28.8326737640732
648,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7616395239662,28.8325411846255
649,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7614880625855,28.8326737640732
656,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7619185561654,28.8326105648258
659,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7651635239662,28.8308821846255
663,"Yes, previously, but not this past year",Mansa,-10.7617615239662,28.8362711846255
664,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7615915239662,28.8324691846255
668,"Yes, previously, but not this past year",Mansa,-10.7618645239662,28.8324681846255
673,"Yes, previously, but not this past year",Mansa,-10.7618205239662,28.8326181846255
676,"Yes, previously, but not this past year",Mansa,-10.7618074121294,28.836334728224
688,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7617927437988,28.8325124965587
689,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7614978684453,28.8325021868178
690,"Yes, previously, but not this past year",Mansa,-10.7618405239662,28.8363301846255
691,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7619615239662,28.8326111846255
704,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7088785239662,29.0623201846255
705,"Yes, this cultivation-year (2023-2024)",Chipili,-10.7097614147727,29.062618150765
711,"Yes, previously, but not this past year",Mansa,-10.7106093645436,29.0629451801609
714,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7105935239662,29.0630951846255
716,"Yes, this cultivation-year (2023-2024)",Mansa,-10.709147770178,29.062260797767
720,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7089035239662,29.0622921846255
722,"Yes, previously, but not this past year",Mansa,-10.7106182493609,29.062939983381
726,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7093653643843,29.0609233812969
728,"Yes, previously, but not this past year",Mansa,-10.7089076705617,29.0623556809109
732,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7164565239662,29.0668931846255
733,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7097497584638,29.0637904112767
736,"Yes, previously, but not this past year",Mansa,-10.710643604618,29.0629364629816
737,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7088585239662,29.0620511846255
741,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7107980830935,29.0638631661963
742,"Yes, previously, but not this past year",Mansa,-10.7091125239662,29.0622351846255
743,"Yes, previously, but not this past year",Mansa,-10.7090867918324,29.0622231630217
746,"Yes, previously, but not this past year",Mansa,-10.7097614147727,29.062618150765
752,"Yes, previously, but not this past year",Mansa,-10.7089371748608,29.0621927367132
753,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7088805239662,29.0621731846255
755,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7106305239662,29.0629481846255
757,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7088745239662,29.0624111846255
759,"Yes, previously, but not this past year",Mansa,-10.7088715864685,29.0621437025797
760,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7115093294871,29.0635603280347
762,"Yes, previously, but not this past year",Mansa,-10.7092952078548,29.0611487706732
767,"Yes, previously, but not this past year",Mansa,-10.7091635239662,29.0622781846255
769,"Yes, previously, but not this past year",Chipili,-10.7097614147727,29.062618150765
771,"Yes, previously, but not this past year",Mansa,-10.7088794654575,29.0620749709737
776,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7115965239662,29.0635471846255
778,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7094030410391,29.0610626047086
779,"Yes, this cultivation-year (2023-2024)",Mansa,-10.7114725239662,29.0635811846255
804,"Yes, this cultivation-year (2023-2024)",Mansa,-11.2252739583277,28.8880693397391
820,"Yes, previously, but not this past year",Mansa,-11.2263455239662,28.8899461846255
830,"Yes, this cultivation-year (2023-2024)",Mansa,-11.2230405239662,28.8915961846255
839,"Yes, this cultivation-year (2023-2024)",Mansa,-11.2252739583277,28.8880693397391
850,"Yes, previously, but not this past year",Mansa,-11.2264227589937,28.8904670705626
873,"Yes, this cultivation-year (2023-2024)",Kasama,-10.2223125239662,31.1722611846255
893,"Yes, previously, but not this past year",Kasama,-10.2221045239662,31.1720741846255
1024,"Yes, previously, but not this past year",Kasama,-10.2325295239662,31.1920871846255
1070,"Yes, previously, but not this past year",Solwezi,-12.3431910688092,26.5305271840006
1088,"Yes, this cultivation-year (2023-2024)",Kasama,-10.1451328585259,31.1797598735989
1107,"Yes, this cultivation-year (2023-2024)",Kasama,-10.1462105239662,31.1792621846255
1134,"Yes, previously, but not this past year",Kasama,-10.12725178452,31.1443911020723
1183,"Yes, this cultivation-year (2023-2024)",Kasama,-10.0992954990229,30.9248659466951
1188,"Yes, this cultivation-year (2023-2024)",Solwezi,-12.2075479526426,26.6397575927485
1206,"Yes, this cultivation-year (2023-2024)",Kasama,-10.0968905214554,30.9274577149748
1208,"Yes, this cultivation-year (2023-2024)",Kasama,-10.0970055239662,30.9257511846255
1219,"Yes, previously, but not this past year",Kasama,-10.1044276545158,30.9239659817516
