district,latitude,longitude,Charc,year
Mpongwe,-13.3409,28.3409,1,2016
Solwezi,-12.32889,25.833849,0,2016
Mufumbwe,-13.06003,25.3593,0,2016
Masaiti,-13.38757,28.69437,1,2016
Choma,-17.19713,27.09465,0,2016
Mbala,-9.57738,31.19507,0,2016
Mumbwa,-14.51234,26.95154,0,2016
Solwezi,-12.3208,25.8756,0,2016
Choma,-16.54721,26.95841,1,2016
Mungwi,-10.31784,32.25326,0,2016
Lundazi,-12.4076,33.3326,0,2016
Mungwi,-10.63736,32.153094,1,2016
Petauke,-14.01843,31.46972,0,2016
Lundazi,-12.16944,33.04229,0,2016
Namwala,-16.02747,26.93142,0,2016
Mkushi ,-13.96311,29.42906,1,2016
Choma,-16.71923,26.86181,0,2016
Mpongwe,-13.38415,28.43787,0,2016
Petauke,-14.38437,31.21531,1,2016
Mungwi,-10.6103,32.1843,0,2016
Mkushi ,-13.96066,29.42306,0,2016
Mumbwa,-15.06095,26.74691,0,2016
Masaiti,-13.46,28.6751,1,2016
Namwala,-15.7104812,26.7129747,0,2016
Lundazi,-12.4194,33.32689,0,2016
Lundazi,-12.40159,33.32661,0,2016
Choma,-16.92544,27.01587,0,2016
Mkushi ,-13.728,29.044,1,2016
Mkushi ,-13.56519,28.90073,1,2016
Choma,-16.71848,26.85988,0,2016
Petauke,-14.10044,31.181355,0,2016
Mkushi ,-13.9177,29.4154,0,2016
Solwezi,-12.53854,26.16093,0,2016
Masaiti,-13.67666,28.66562,1,2016
Namwala,-16.2508,26.7014,0,2016
Mumbwa,-15.0729,26.75597,1,2016
Lundazi,-12.68833,32.87744,0,2016
Masaiti,-13.69327,28.65871,0,2016
Masaiti,-13.6706,28.6561,1,2016
Masaiti,-13.23458,28.66743,1,2016
Lundazi,-11.9757,32.2009,0,2016
Solwezi,-12.2329,26.75058,0,2016
Mufumbwe,-13.3629,24.8679,0,2016
Namwala,-16.23173,26.67156,0,2016
Mpongwe,-13.3348,28.3747,1,2016
Mpongwe,-13.45,27.9342,0,2016
Mumbwa,-15.21329,27.34827,0,2016
Mpongwe,-13.4476,27.93608,0,2016
Petauke,-14.19581,31.19519,0,2016
Choma,-16.76493,27.30583,0,2016
Mbala,-9.553900000000001,31.1991,0,2016
Lundazi,-12.68809,32.87859,0,2016
Lundazi,-12.676,32.8392,1,2016
Solwezi,-12.53869,26.15961,0,2016
Petauke,-14.21053,31.20853,0,2016
Masaiti,-13.38877,28.6861,0,2016
Namwala,-16.02854,26.92931,0,2016
Choma,-16.8427,26.80836,0,2016
Petauke,-14.38508,31.21652,0,2016
Mufumbwe,-13.23404,24.7526,0,2016
Masaiti,-13.67697,28.66556,1,2016
Mungwi,-10.3062,32.2718,0,2016
Mufumbwe,-13.30998,24.80982,0,2016
Namwala,-15.73294,26.74239,0,2016
Mbala,-9.542,31.2167,0,2016
Mumbwa,-15.20703,27.35975,0,2016
Choma,-16.74701,26.95733,0,2016
Mpongwe,-13.6323,27.8342,0,2016
Lundazi,-12.68799,32.87579,0,2016
Mumbwa,-14.55238,26.9194208,0,2016
Masaiti,-13.54432,28.63968,1,2016
Masaiti,-13.69333,28.65826,1,2016
Mpongwe,-13.4488,27.93462,0,2016
Mumbwa,-14.51124,26.94834,0,2016
Solwezi,-12.20245,26.77474,0,2016
Namwala,-16.2561,26.7017,0,2016
Choma,-16.87704,27.2686,0,2016
Choma,-17.1554,27.1354,0,2016
Mbala,-9.542,31.2161,1,2016
Namwala,-16.04967,26.98748,0,2016
Mufumbwe,-13.46938,25.00177,0,2016
Petauke,-14.03425,31.48091,0,2016
Masaiti,-13.25941,28.70198,0,2016
Petauke,-14.21697,31.21708,0,2016
Petauke,-14.47558,31.31172,0,2016
Mufumbwe,-13.22559,24.75243,0,2016
Mkushi ,-13.519,28.9415,1,2016
Lundazi,-12.40123,33.32598,0,2016
Mkushi ,-13.9503,29.4025,0,2016
Choma,-16.91362,27.1037235,1,2016
Choma,-16.752,26.94189,0,2016
Mumbwa,-15.3997,27.07479,0,2016
Mkushi ,-13.5398,28.8986,1,2016
Masaiti,-13.22136,28.6778,0,2016
Mbala,-9.554040000000001,31.19979,1,2016
Mkushi ,-13.9891,29.4451,1,2016
Lundazi,-12.1486,33.0326,0,2016
Mufumbwe,-13.36996,24.85524,0,2016
Mkushi ,-13.52473,28.93653,1,2016
Choma,-16.76998,27.30633,0,2016
Choma,-16.65588,26.85497,0,2016
Choma,-16.732644,26.951124,0,2016
Mufumbwe,-13.4698,25.0038,0,2016
Petauke,-14.4879,31.3083,0,2016
Mufumbwe,-13.0585,25.3608,0,2016
Choma,-17.20625,27.11265,0,2016
Lundazi,-11.9759,33.2036,0,2016
Mufumbwe,-13.46438,25.00125,0,2016
Petauke,-14.0047,31.4592,0,2016
Choma,-16.77022,27.30639,0,2016
Mufumbwe,-12.17653,26.44296,0,2016
Choma,-16.878095,26.789138,0,2016
Mpongwe,-13.3402,28.3861,1,2016
Petauke,-14.33783,31.1735,0,2016
Petauke,-14.09843,31.17768,0,2016
Mungwi,-10.31923,32.25194,0,2016
Mufumbwe,-13.05608,25.36927,0,2016
Masaiti,-13.3863,28.7215,0,2016
Choma,-17.1534,27.1453,0,2016
Choma,-16.73203,26.95121,0,2016
Namwala,-15.06006,26.73611,0,2016
Namwala,-16.05652,26.968993,0,2016
Choma,-16.39352,26.77101,0,2016
Mungwi,-10.07696,32.3194,0,2016
Mbala,-8.9998,31.677069,0,2016
Solwezi,-12.32154,25.87713,1,2016
Lundazi,-11.5833,33.1216,0,2016
Solwezi,-12.1976,26.77639,0,2016
Mungwi,-10.64152,31.94616,0,2016
Mbala,-8.99733,31.67956,0,2016
Mungwi,-10.07602,32.31901,0,2016
Choma,-16.74957,27.29597,0,2016
Petauke,-14.47621,31.31276,0,2016
Namwala,-16.04805,26.98395,0,2016
Choma,-16.19191,26.191919,0,2016
Lundazi,-12.4176,33.336,0,2016
Mbala,-9.024900000000001,31.6703,1,2016
Mbala,-9.023899999999999,31.6687,0,2016
Masaiti,-13.25361,28.68936,1,2016
Choma,-17.19614,27.09479,0,2016
Mbala,-9.0191,31.6657,0,2016
Mbala,-9.0273,31.6712,0,2016
Choma,-16.42045,26.7978,0,2016
Namwala,-16.141527,26.405126,0,2016
Mpongwe,-13.59062,27.82575,0,2016
Petauke,-14.0089,31.46385,0,2016
Petauke,-14.0919,31.1805,1,2016
Mbala,-9.026,31.6725,0,2016
Mbala,-9.02131,31.65644,0,2016
Solwezi,-12.10997,25.50656,0,2016
Mungwi,-10.63563,32.15317,1,2016
Lundazi,-12.7076,32.8564,0,2016
Mufumbwe,-13.2018056,24.7900985,0,2016
Mpongwe,-13.45447,27.92882,0,2016
Choma,-16.92519,26.01562,1,2016
Mungwi,-10.63645,32.15267,0,2016
Mumbwa,-15.21451,27.34453,0,2016
Mufumbwe,-13.46902,25.00035,0,2016
Mbala,-9.35854,31.23443,0,2016
Mufumbwe,-13.05593,25.38006,0,2016
Choma,-16.73218,26.95127,1,2016
Mumbwa,-15.0696,26.7441,0,2016
Mumbwa,-15.0676,26.7453,0,2016
Solwezi,-12.20171,26.77511,0,2016
Mumbwa,-15.1855588,27.3305758,0,2016
Mufumbwe,-13.21001,24.76668,0,2016
Lundazi,-11.95242,33.16022,0,2016
Mpongwe,-13.37733,28.4166,1,2016
Mungwi,-10.0821,32.3137,1,2016
Lundazi,-12.67517,32.83897,0,2016
Lundazi,-12.1491,33.0342,0,2016
Choma,-16.4796,26.93069,0,2016
Petauke,-13.96355,31.44557,0,2016
Namwala,-16.06145,26.93421,0,2016
Namwala,-15.7114168,26.713404,0,2016
Lundazi,-11.97597,33.20362,0,2016
Mpongwe,-13.4545,27.9294,0,2016
Mungwi,-10.0969,32.28642,0,2016
Mkushi ,-13.9954,29.4484,1,2016
Choma,-16.985395,27.065605,0,2016
Choma,-16.96942,27.0864,1,2016
Choma,-16.91362,27.103725,0,2016
Lundazi,-12.67538,32.83943,0,2016
Mpongwe,-13.45021,27.92275,0,2016
Mpongwe,-13.3742,28.41548,0,2016
Solwezi,-12.32617,25.88561,1,2016
Mkushi ,-13.52397,28.93685,0,2016
Mbala,-9.357419999999999,31.23403,0,2016
Masaiti,-13.55097,28.67172,1,2016
Mbala,-9.0228,31.6656,0,2016
Choma,-16.73218,26.95127,0,2016
Mbala,-9.3629,31.23747,0,2016
Mkushi ,-13.5856,29.5779,0,2016
Namwala,-16.04719,26.98823,0,2016
Mkushi ,-13.7289,29.0477,1,2016
Choma,-16.73847,27.23147,0,2016
Choma,-16.54804,26.95855,0,2016
Solwezi,-12.32469,25.87829,0,2016
Namwala,-16.41476,26.77854,0,2016
Choma,-16.67428,26.8621,0,2016
Namwala,-16.03142,26.92835,0,2016
Choma,-17.16401,27.11868,0,2016
Mungwi,-10.32157,32.2422,0,2016
Mbala,-9.561500000000001,31.1958,1,2016
Choma,-16.479585,26.934886,0,2016
Mpongwe,-13.33227,28.37071,0,2016
Mumbwa,-15.4011,27.0841,0,2016
Masaiti,-13.38506,28.72456,0,2016
Mungwi,-10.0982,32.29116,0,2016
Mufumbwe,-13.06146,25.35714,0,2016
Choma,-16.44765,26.7686,0,2016
Choma,-16.92534,27.01608,1,2016
Choma,-16.47964,26.934932,0,2016
Mungwi,-10.3126,32.2628,0,2016
Lundazi,-11.58276,33.12152,0,2016
Choma,-16.94459,27.099,1,2016
Mkushi ,-13.59424,29.5776,0,2016
Namwala,-15.921,26.5271,1,2016
Mpongwe,-13.3483,28.39241,0,2016
Masaiti,-13.69252,28.658017,0,2016
Masaiti,-13.3829,28.6588,1,2016
Mungwi,-10.31912,32.25226,0,2016
Mufumbwe,-13.363028,24.86747,0,2016
Mkushi ,-13.7269,29.0616,0,2016
Petauke,-14.47381,31.31068,0,2016
Choma,-16.750241,26.950421,0,2016
Mumbwa,-15.4074,27.0827,0,2016
Choma,-16.76998,27.30633,0,2016
Petauke,-14.19089,31.19097,0,2016
Mumbwa,-14.52269,29.91518,0,2016
Namwala,-16.053166,26.968148,0,2016
Mumbwa,-15.39974,27.075791,0,2016
Mungwi,-10.6122,32.1833,0,2016
Namwala,-16.2487,26.6913,0,2016
Mkushi ,-13.59402,29.57667,0,2016
Mpongwe,-13.60664,27.82863,0,2016
Lundazi,-11.5832,33.1215,0,2016
Mungwi,-10.3213,32.2428,0,2016
Mungwi,-10.645,31.9464,0,2016
Masaiti,-13.23555,28.66577,1,2016
Mungwi,-10.30733,32.26862,0,2016
Petauke,-14.21267,31.22072,1,2016
Choma,-16.44888,26.77073,0,2016
Lundazi,-12.1715,33.0435,0,2016
Namwala,-16.03799,26.93335,0,2016
Lundazi,-11.9527,33.1617,0,2016
Petauke,-14.35646,31.16202,0,2016
Mufumbwe,-13.19875,24.7747,0,2016
Lundazi,-12.68706,32.87616,0,2016
Choma,-16.41917,26.77928,0,2016
Masaiti,-13.255,28.6797,0,2016
Mkushi ,-13.59201,29.57858,0,2016
Choma,-16.9219,27.2602,0,2016
Mkushi ,-13.527626,28.9252442,0,2016
Choma,-16.815472,26.833017,0,2016
Masaiti,-13.47387,28.67726,1,2016
Mufumbwe,-13.30901,24.80878,0,2016
Mumbwa,-15.4004,27.0832,0,2016
Petauke,-14.0335,31.4816,1,2016
Mkushi ,-13.5198,28.9502,1,2016
Masaiti,-13.22249,28.67334,1,2016
Choma,-17.2049,27.11022,0,2016
Mbala,-8.822800000000001,31.52643,0,2016
Masaiti,-13.67885,28.6627,0,2016
Mpongwe,-13.57798,27.84285,1,2016
Mkushi ,-13.59162,29.58432,0,2016
Mbala,-9.5413,31.2114,0,2016
Mbala,-8.810600000000001,31.5377,0,2016
Mbala,-8.8108,31.5384,0,2016
Choma,-16.38933,26.77287,0,2016
Lundazi,-12.15425,33.02855,0,2016
Masaiti,-13.477385,28.68011,0,2016
Mkushi ,-13.5847,29.5834,0,2016
Mbala,-9.36881,31.23456,0,2016
Choma,-16.479628,26.9349164,1,2016
Mkushi ,-13.5869,29.5841,0,2016
Choma,-16.39291,26.77131,0,2016
Mumbwa,-14.51251,26.95054,0,2016
Mpongwe,-13.46448,27.92081,0,2016
Choma,-17.20765,27.11392,0,2016
Namwala,-16.141792,26.405363,0,2016
Lundazi,-12.149,33.0337,0,2016
Mufumbwe,-13.2042,24.77427,1,2016
Petauke,-14.35876,31.16336,1,2016
Mungwi,-10.6476,31.9392,1,2016
Mufumbwe,-13.05782,25.36737,0,2016
Solwezi,-13.05685,25.37999,1,2016
Solwezi,-12.34632,25.81031,0,2016
Mbala,-9.552899999999999,31.19754,0,2016
Mungwi,-10.6379,32.15112,1,2016
Choma,-16.9088,27.2553,0,2016
Solwezi,-12.23513,26.75332,0,2016
Mufumbwe,-13.057041,25.37125,1,2016
Mumbwa,-15.0721,26.7386,1,2016
Choma,-16.969225,27.086604,0,2016
Mbala,-8.99994,31.67823,0,2016
Choma,-16.9692,27.08646,1,2016
Mumbwa,-15.068726,26.7495779,0,2016
Mufumbwe,-13.05607,25.38281,0,2016
Masaiti,-13.67582,28.666,0,2016
Namwala,-15.75246,26.76351,0,2016
Petauke,-14.38607,31.21685,1,2016
Mungwi,-10.3131,32.2608,1,2016
Solwezi,-13.47003,28.00227,0,2016
Solwezi,-12.56251,26.176,0,2016
Masaiti,-13.50975,28.52104,1,2016
Mkushi ,-13.7283,29.0468,1,2016
Mufumbwe,-13.2024,24.76981,0,2016
Namwala,-15.92989,26.51184,1,2016
Solwezi,-12.23657,26.74506,0,2016
Solwezi,-13.19639,26.7657,1,2016
Namwala,-15.9202,26.5301,0,2016
Solwezi,-12.33201,25.89142,1,2016
Namwala,-16.03012,26.92816,0,2016
Mkushi ,-13.7293,29.0492,1,2016
Mpongwe,-13.4512,27.92606,0,2016
Mpongwe,-13.6335,27.8374,0,2016
Mkushi ,-15.41218,27.07835,0,2016
Mpongwe,-13.60897,27.79899,1,2016
Petauke,-14.0325,31.4799,0,2016
Mpongwe,-13.37349,28.4206,0,2016
Solwezi,-12.34632,25.81031,1,2016
Mungwi,-10.3099,32.2665,0,2016
Mkushi ,-13.5739,29.90321,0,2016
Solwezi,-12.56186,26.17146,0,2016
Choma,-16.9078,27.255,0,2016
Lundazi,-12.68763,32.87658,0,2016
Namwala,-15.72969,26.74091,0,2016
Mungwi,-10.13495,32.30742,0,2016
Petauke,-14.20865,31.20674,0,2016
Choma,-16.76752,24.30683,0,2016
Namwala,-15.72255,26.72275,0,2016
Choma,-16.57614,27.27163,0,2016
Lundazi,-11.9559,33.16731,1,2016
Mungwi,-10.6111,32.1872,0,2016
Mpongwe,-13.38695,28.44353,0,2016
Mumbwa,-14.51799,26.93103,1,2016
Mumbwa,-14.50681,26.95402,0,2016
Solwezi,-12.23791,26.75268,1,2016
Mungwi,-10.32136,32.24228,0,2016
Choma,-17.15471,27.14211,0,2016
Choma,-16.84802,26.8051,0,2016
Mungwi,-10.09649,32.31152,0,2016
Lundazi,-12.41591,33.33443,0,2016
Mbala,-9.58042,31.194448,0,2016
Mufumbwe,-13.05715,25.37427,1,2016
Mungwi,-10.63479,32.15305,1,2016
Masaiti,-13.4542,28.6768,1,2016
Namwala,-15.74932,26.76227,0,2016
Choma,-16.92523,27.01585,0,2016
Mbala,-8.82579,31.52758,0,2016
Namwala,-16.04927,26.9895,0,2016
Namwala,-15.93099,26.50915,0,2016
Masaiti,-13.3847,28.72562,0,2016
Mkushi ,-13.52528,28.93407,1,2016
Choma,-16.76519,27.30688,0,2016
Choma,-16.68361,26.85687,0,2016
Namwala,-15.93374,26.51939,0,2016
Namwala,-15.7122396,26.7131035,0,2016
Choma,-16.925341,27.015791,0,2016
Choma,-16.90002,27.2854,0,2016
Mufumbwe,-13.32111,24.84379,0,2016
Mufumbwe,-13.30668,24.80494,0,2016
Mbala,-9.5799,31.19324,0,2016
Namwala,-15.7232,26.72022,0,2016
Choma,-16.73209,26.95131,0,2016
Mpongwe,-13.82481,28.64845,0,2016
Mumbwa,-15.0702,26.7462,0,2016
Mpongwe,-13.3364,28.3746,0,2016
Mumbwa,-15.0825865,26.76991296,0,2016
Mkushi ,-13.734203,29.0691213,0,2016
Namwala,-16.26402,26.69018,0,2016
Mufumbwe,-13.1991,24.782,0,2016
Lundazi,-12.1685,33.0428,1,2016
Mumbwa,-13.19587,27.33725,0,2016
Choma,-16.39111,26.77245,0,2016
Mumbwa,-15.20774,27.35761,1,2016
Mpongwe,-13.58242,27.83349,0,2016
Mufumbwe,-13.36931,24.85623,0,2016
Petauke,-14.3352,31.16893,0,2016
Mpongwe,-13.60277,27.82924,1,2016
Namwala,-16.06231,26.93249,0,2016
Mungwi,-10.6112,32.1889,0,2016
Namwala,-15.7125222,26.710905,0,2016
Mumbwa,-15.190023,27.33276,0,2016
Mungwi,-10.3093,32.2661,0,2016
Lundazi,-11.9775,33.2006,0,2016
Solwezi,-12.56429,26.17021,0,2016
Solwezi,-12.53797,26.1612,0,2016
Mufumbwe,-13.201675,24.78879,1,2016
Petauke,-14.33991,31.16892,0,2016
Mufumbwe,-13.2022,24.7839,0,2016
Choma,-16.8760315,26.788325,0,2016
Choma,-16.985587,27.06566,0,2016
Choma,-16.81559,26.83296,0,2016
Mungwi,-10.6347,32.1522,0,2016
Choma,-16.73193,26.95981,1,2016
Masaiti,-13.68212,28.66789,0,2016
Mpongwe,-13.38736,28.44326,0,2016
Namwala,-16.2488,26.7043,0,2016
Masaiti,-13.38359,28.65559,0,2016
Mpongwe,-13.44889,27.9357,0,2016
Mpongwe,-13.57776,27.83892,0,2016
Mkushi ,-13.52707,28.93,1,2016
Petauke,-14.49303,31.31994,0,2016
Mufumbwe,-13.05669,25.38101,0,2016
Mpongwe,-13.6334,27.8361,0,2016
Mumbwa,-15.19438,27.3383,0,2016
Mumbwa,-15.3996,27.0911,0,2016
Mbala,-9.3843,31.235,0,2016
Namwala,-15.551921,26.313212,0,2016
Mkushi ,-13.5864,29.5771,0,2016
Mumbwa,-15.41699,27.06035,0,2016
Mumbwa,-15.41749,27.06034,0,2016
Solwezi,-12.1052,25.4885,0,2016
Mumbwa,-15.41851,27.05818,0,2016
Lundazi,-12.4022,33.3253,0,2016
Choma,-16.71212,26.8748,0,2016
Choma,-16.8288,26.8027,0,2016
Mufumbwe,-13.31702,24.81648,0,2016
Mbala,-9.3855,31.2344,0,2016
Choma,-16.47944,26.93493,1,2016
Mpongwe,-13.3199,28.6424,0,2016
Mumbwa,-15.07478,26.75486,0,2016
Masaiti,-13.37278,28.66238,1,2016
Mkushi ,-13.57514,29.56765,0,2016
Masaiti,-13.38424,28.65397,1,2016
Petauke,-13.96988,31.44132,1,2016
Mufumbwe,-13.364733,24.86835,0,2016
Namwala,-15.73376,26.73427,0,2016
Mungwi,-10.32044,32.25187,0,2016
Mpongwe,-13.60779,27.89168,1,2016
Mkushi ,-13.57803,29.56578,0,2016
Mbala,-9.562200000000001,31.1971,1,2016
Choma,-16.8429,26.7883,0,2016
Mumbwa,-15.0737,26.7495,0,2016
Choma,-16.7705,27.30595,0,2016
Mufumbwe,-13.201939,24.786945,1,2016
Mungwi,-10.6498,31.9403,0,2016
Mkushi ,-13.57524,29.56721,0,2016
Mkushi ,-13.95762,29.40728,0,2016
Mufumbwe,-13.22559,24.75243,1,2016
Mumbwa,-15.40869806,27.0830404,0,2016
Choma,-16.96942,27.0864,1,2016
Choma,-16.42188,26.78354,0,2016
Choma,-16.9206,27.2641,0,2016
Mkushi ,-13.7359,29.06765,0,2016
Mkushi ,-13.996,29.452,1,2016
Mpongwe,-13.37358,28.4378,0,2016
Masaiti,-13.25678,28.68085,0,2016
Lundazi,-12.161,33.0347,0,2016
Mpongwe,-13.59561,27.82634,0,2016
Namwala,-16.2525,26.7002,0,2016
Petauke,-14.01,31.4646,0,2016
Mkushi ,-13.95988,29.4213,0,2016
Petauke,-14.0102,31.4657,0,2016
Masaiti,-13.38652,28.69878,0,2016
Mumbwa,-15.21117,27.35268,1,2016
Mungwi,-10.0972,32.2917,1,2016
Mungwi,-10.64895,31.93707,1,2016
Mpongwe,-13.80147,28.64336,0,2016
Mumbwa,-15.1888647,27.33216986,0,2016
Mungwi,-10.07743,32.3201,0,2016
Namwala,-15.917,26.5305,1,2016
Choma,-16.74946,27.2955,0,2016
Masaiti,-13.4597,28.6754,1,2016
Mkushi ,-13.72753,29.05891,0,2016
Lundazi,-12.7159,32.8418,0,2016
Choma,-17.112676,27.62635,0,2016
Petauke,-14.38633,31.21483,0,2016
Choma,-16.96925,27.0862,0,2016
Namwala,-15.921,26.5271,0,2016
Mumbwa,-15.21227,27.35148,0,2016
Masaiti,-13.6794,28.66693,1,2016
Namwala,-15.73502,26.73526,0,2016
Lundazi,-11.97528,33.20339,0,2016
Mufumbwe,-13.46433,25.00465,0,2016
Mbala,-8.824299999999999,31.52776,0,2016
Mungwi,-10.32155,32.2515,0,2016
Mpongwe,-13.23015,28.6692,0,2016
Mungwi,-10.07691,32.32041,0,2016
Choma,-16.9854,27.06558,0,2016
Choma,-16.73223,26.95143,0,2016
Namwala,-16.41268,26.77878,0,2016
Mkushi ,-13.96203,29.42372,0,2016
Mungwi,-10.64248,31.94671,0,2016
Lundazi,-12.1704,33.043,0,2016
Masaiti,-13.2296,28.6695,1,2016
Mbala,-9.556419999999999,31.20301,0,2016
Choma,-16.944734,27.09098,0,2016
Mufumbwe,-13.06086,25.37193,0,2016
Petauke,-14.38523,31.21393,0,2016
Solwezi,-12.34632,25.81031,1,2016
Mkushi ,-13.95873,29.37512,0,2016
Mbala,-9.0245,31.6696,1,2016
Choma,-16.47939,26.93489,0,2016
Choma,-16.76506,27.31002,0,2016
Mkushi ,-13.5843,29.5777,0,2016
Choma,-16.87125,27.27407,0,2016
Mkushi ,-13.73153,29.06406,0,2016
Choma,-16.857024,26.8027852,0,2016
Mkushi ,-13.9949,29.4474,0,2016
Mbala,-9.562200000000001,31.1956,0,2016
Mpongwe,-13.3396,28.3865,0,2016
Choma,-16.8276,26.8012,0,2016
Namwala,-15.9138,26.5148,0,2016
Mungwi,-10.0981,32.3105,0,2016
Mungwi,-10.64083,31.9484,0,2016
Mpongwe,-13.61937,27.83061,1,2016
Choma,-16.77001,27.39638,0,2016
Petauke,-14.34746,31.16067,0,2016
Mumbwa,-15.407,27.0849,0,2016
Mbala,-9.3629,31.2565,0,2016
Mbala,-9.000400000000001,31.677621,0,2016
Mbala,-9.36143,31.2373,0,2016
Petauke,-14.3838,31.2168,0,2016
Mungwi,-10.61,32.1811,1,2016
Masaiti,-13.6708,28.6615,0,2016
Mufumbwe,-13.20929,24.76449,0,2016
Mumbwa,-15.22068,27.34575,0,2016
Masaiti,-13.44827,28.68251,0,2016
