NAME_2,mean,min,max,std,median
Chibombo,375711.81685557176,0.0,1150700.375,262234.5763318141,293438.625
Chisamba,289699.76434930856,27778.17578125,910415.1875,159699.06786375842,256208.171875
Chitambo,437250.3428523007,46819.8125,1303900.25,252813.7163298827,379729.0
Itezhi-tezhi,692707.1397423191,0.0,1790870.75,391487.7823129769,617951.8125
Kabwe,144695.07073329008,30192.388671875,354878.28125,61282.84580029178,134367.53125
Kapiri Mposhi,299975.08370798547,0.0,762809.1875,172264.0046631858,265749.78125
Luano,868077.9547316232,162580.734375,1525959.375,308724.0700933786,894891.375
Mkushi,302505.4900748841,0.0,905737.125,174244.12962436126,279424.90625
Mumbwa,410227.1505543571,0.0,1132040.25,247985.8018915367,353888.34375
Ngabwe,604393.5464727273,151325.90625,1311354.125,222788.38160024234,572352.4375
Serenje,613620.2097986693,0.0,1618366.75,414479.46094228124,573239.6875
Chililabombwe,221048.22322232224,0.0,498080.625,122156.77877435666,217993.28125
Chingola,178540.80810639646,0.0,549158.9375,100606.83666923908,158050.5625
Kalulushi,164654.45692883895,20000.0,388072.34375,87001.70517733501,145876.15625
Kitwe,113084.90408673896,0.0,331877.1875,64988.377485540776,95688.3359375
Luanshya,111331.01507537688,0.0,312144.21875,53131.465577428644,95840.6171875
Lufwanyama,477546.5882352941,0.0,1118253.625,238876.8753784474,444753.9375
Masaiti,185644.61873638345,0.0,523891.53125,82974.8074088477,173854.203125
Mpongwe,500870.49192100536,0.0,1573419.0,403031.23162186827,350605.125
Mufulira,97155.49462365592,0.0,300447.5625,67969.44360304749,86917.015625
Ndola,123862.38235294117,52918.08984375,230534.03125,37161.90363816825,117379.671875
Chadiza,116238.82228116711,0.0,341634.5625,60744.26142516168,104688.609375
Chasefu,174744.65891112146,6828.42724609375,433144.25,82803.38398199333,172396.96875
Chipangali,297598.24881430133,115536.640625,658228.625,119615.70133119605,265548.9375
Chipata,153974.43742690058,52150.70703125,380095.46875,62992.74105249264,137189.765625
Kasenengwa,231063.96309584827,35665.41796875,573661.625,113149.89772167034,205662.875
Katete,123793.72549019608,0.0,402714.625,71868.46626084654,110096.171875
Lumezi,401646.4989641906,23227.37109375,1030676.25,227067.4657793446,364200.90625
Lundazi,137440.90293453724,0.0,349463.21875,79989.26373739951,131381.625
Mambwe,343861.54191464034,0.0,849355.4375,165985.58979153263,334215.25
Nyimba,716112.9064846416,0.0,1619177.5,403292.65464865934,747744.25
Petauke,367063.8088737201,0.0,1224047.5,272242.5374305482,290391.9375
Sinda,165385.24143242202,39985.28125,432148.21875,65898.88779158283,159039.46875
Vubwi,233251.07491856677,8949.748046875,425738.625,66091.84632217625,232308.671875
Chembe,427578.20074349444,134392.390625,923598.6875,175842.7134515482,392423.875
Chiengi,227491.17117117118,0.0,520381.84375,93792.24288721352,222391.90625
Chifunabuli,326412.60103626945,55556.34375,810943.125,182421.82763024897,260090.40625
Chipili,257534.96356275302,56323.66796875,597682.4375,110465.99673806841,236372.3125
Kawambwa,363917.05468652234,0.0,964665.4375,209336.6662546994,342315.71875
Lunga,843526.6642124639,234438.609375,1359084.125,249298.1825114911,855703.6875
Mansa,360487.4653963213,18384.77734375,945259.375,198385.91103513836,318048.03125
Milengi,465841.3262239457,0.0,1037185.5625,220662.8605556375,436698.625
Mwansabombwe,318243.7535864979,81930.984375,604666.125,119505.2249826695,297009.25
Mwense,243655.3947368421,0.0,607965.5,136310.09995155406,220651.796875
Nchelenge,273407.72662553395,0.0,766874.0,141032.6721436022,236547.71875
Samfya,292026.23878711305,0.0,774569.75,130897.03351953941,290875.25
Chilanga,119277.43906020558,7242.640625,316854.3125,54218.592977212014,112448.71875
Chirundu,182912.28780213604,51213.203125,428426.40625,75358.38588722206,174944.71875
Chongwe,98002.87521968366,0.0,433172.625,66320.89178684157,85097.9765625
Kafue,326677.9514917364,0.0,943216.125,194197.165740269,298749.78125
Luangwa,602870.8328912467,0.0,1329208.125,344030.29114866885,590562.4375
Lusaka,58228.0306122449,24899.494140625,115163.53125,16813.06536969326,54847.25
Rufunsa,431563.0825995807,17985.283203125,1040687.3125,236179.98474016946,406063.0
Shibuyunji,257662.27556644214,96618.78125,653384.75,121539.48768819276,224462.390625
Chama,599005.2822117299,0.0,1387064.875,278963.86004475766,588663.5
Chinsali,219710.35320441105,0.0,680485.8125,133178.12839526316,188057.375
Isoka,281382.9114210328,0.0,790979.6875,181501.2243109291,249607.625
Kanchibiya,397642.6897100625,28216.146484375,1056469.75,175883.05297785878,384100.5
Lavushimanda,645743.6169346345,76169.0546875,1322743.75,285149.93179462774,660556.4375
Mafinga,389840.84045164456,146616.28125,724263.9375,112647.75823452348,371181.75
Mpika,628571.7526762211,0.0,1431424.25,369616.45039656555,615004.125
Nakonde,258987.36676681304,0.0,747812.125,146890.50373158907,236390.890625
Shiwamg'andu,317761.1666486895,45470.5703125,727369.0,143070.48080927378,299356.375
Chavuma,824371.4676541059,0.0,1790009.625,452707.85006202286,823137.0
Ikelenge,238823.74429223745,37970.87890625,619424.0,101750.46557504873,212970.28125
Kabompo,281080.8181818182,0.0,1034884.25,177516.8224226625,240974.59375
Kalumbila,582318.4953902889,134515.328125,1202647.5,243594.0955808867,550547.375
Kasempa,617036.7988239077,0.0,1573018.0,362178.6728851793,540338.9375
Manyinga,409140.29551877273,22449.01953125,1059975.375,227713.31993280127,372567.125
Mufumbwe,550930.6201444158,0.0,1540285.0,377498.4794954875,447825.4375
Mushindano,367817.98384089494,23771.0,897467.9375,161767.2503028733,347819.3125
Mwinilunga,404777.9492342294,0.0,1187401.75,256805.95174117366,363927.78125
Solwezi,522070.5509972434,175612.78125,1420923.75,219490.32875960798,472092.125
Zambezi,620599.9602045821,0.0,2206949.5,500949.68328297697,437479.125
Chilubi,549502.9384763741,0.0,1217137.375,315773.95083809487,514558.4375
Kaputa,246039.42631993696,0.0,682555.4375,152612.03764552987,210444.640625
Kasama,344489.69487058825,34656.85546875,1106340.375,201277.72570673842,289997.0625
Lunte District,388422.7626085829,45754.40234375,1003452.25,192387.73863208614,350069.40625
Lupososhi,409219.7778889445,15229.373046875,825737.125,206255.5223866388,418651.59375
Luwingu,409268.07485760783,0.0,1167989.75,306736.62101836817,341198.25
Mbala,144135.81293653205,0.0,481485.5,82717.99167969551,129137.078125
Mporokoso,232894.4506517691,0.0,748119.8125,149900.773689106,200095.46875
Mpulungu,451654.536461883,0.0,998486.3125,226029.3697456252,418054.0625
Mungwi,395240.5164514785,0.0,896981.1875,195613.5334704486,381172.625
Nsama,323649.98865171574,31313.708984375,809967.4375,141686.12541097924,301300.0
Senga Hill,390989.293731919,94071.5,859168.5,182985.0883100077,354456.28125
Chikankanta,186497.5540355677,17313.7109375,424717.84375,99218.98172924231,178492.421875
Choma,244578.76205287714,30142.130859375,642361.0,117524.90231730448,230643.1875
Gwembe,260674.05702436494,0.0,602261.875,114472.89974889744,256894.46875
Kalomo,534419.0638297872,0.0,1526617.25,408630.49410626746,430660.4375
Kazungula,762697.6008750342,0.0,1802586.5,453430.9781680718,736790.375
Livingstone,112582.50653983353,0.0,296866.96875,57844.57868731036,94399.5
Mazabuka,270589.2464146023,0.0,802519.9375,205940.1692868178,212450.8125
Monze,209656.8236493374,0.0,559465.125,133295.83468759325,182971.609375
Namwala,389119.5977075245,0.0,1051806.5,217633.5469393992,351409.1875
Pemba,191526.14345991562,26000.0,538917.75,105499.47255196441,162616.265625
Siavonga,237154.87781036168,0.0,453345.28125,115550.39691963031,247421.34375
Sinazongwe,286075.4078454563,0.0,814973.625,172865.64335940866,255178.734375
Zimba,470179.34401220444,40284.26953125,984799.3125,262783.7364154863,436141.1875
Kalabo,1027441.7719975614,0.0,2471932.0,616592.0237609816,931415.125
Kaoma,411287.79182156135,0.0,1082922.75,230000.78637577195,356475.1875
Limulunga,485483.7877467316,146133.484375,996361.4375,204930.77989411168,460610.28125
Luampa,663339.8655924543,47949.75,1452763.5,351062.9213366168,648511.75
Lukulu,493511.71397987584,0.0,1346677.0,339542.19417873136,406149.3125
Mitete,1294227.9647798743,4828.42724609375,2509184.25,680560.7324689509,1176586.625
Mongu,628120.0633245383,115892.546875,1480050.375,343003.7864507936,578392.0
Mulobezi,1100249.031349539,233264.546875,2085638.375,434227.7459474924,1048144.125
Mwandi,546178.8699551569,17071.068359375,1484387.125,338414.5520222424,510627.0625
Nalolo,755654.1631681455,16417.708984375,1615880.875,427761.46113423014,724169.25
Nkeyema,400196.8842105263,51535.53515625,1057166.5,205093.84427937467,383914.75
Senanga,850476.847054552,0.0,1915675.875,517622.5816021744,852244.0
Sesheke,701995.4329031676,0.0,1661763.75,414585.6560543947,690744.375
Shang'ombo,505678.11583011586,0.0,1506714.5,297669.78939982736,465665.0625
Sikongo,1013447.502292076,221485.296875,1844413.625,381148.45185304055,1020710.625
Sioma,689815.2624827066,36693.28515625,1603162.5,412227.1850172351,647109.5
